ESR1,ID4
ESR1,KDM4B
ESR1,LEF1
ESR1,MECP2
ESR1,MTA1
ESR1,NCOR1
ESR1,NKX3-1
ESR1,NR2E3
ESR1,PGR
ESR1,PIAS3
ESR1,RUNX2
ESR1,SP1
ESR1,STAT5A
ESR1,STAT5B
ESR1,TFAP2C
ESR1,TP53
ESR1,TWIST1
ESR1,XBP1
KRT5,BRCA1
KRT5,SP1
KRT5,TFAP2A
BRCA1,ID4
ESR1,ID4
MMP9,CIITA
MMP9,ELF3
MMP9,ELF4
MMP9,EP300
MMP9,ETS1
MMP9,ETS2
MMP9,FOS
MMP9,FOS
MMP9,HDAC1
MMP9,IKBKB
MMP9,IRF1
MMP9,JUN
MMP9,JUN
MMP9,KLF5
MMP9,KLF6
MMP9,KLF8
MMP9,MAZ
MMP9,MTA1
MMP9,NFKB1
MMP9,NFKB1
MMP9,NFKBIA
MMP9,PPARA
MMP9,PPARG
MMP9,RELA
MMP9,RELA
MMP9,RUNX3
MMP9,SIRT1
MMP9,SMAD3
MMP9,SNAI2
MMP9,SP1
MMP9,SP2
MMP9,SPDEF
MMP9,STAT1
MMP9,STAT3
MMP9,STAT3
MMP9,TFAP2A
MMP9,TFAP2A
BIRC5,APC
BIRC5,CTNNB1
BIRC5,DNMT1
BIRC5,E2F1
BIRC5,E2F1
BIRC5,E2F4
BIRC5,EHMT2
BIRC5,EP300
BIRC5,EP300
BIRC5,FOXO3
BIRC5,HDAC1
BIRC5,ILF3
BIRC5,KLF4
BIRC5,KLF5
BIRC5,LEF1
BIRC5,MYCN
BIRC5,NFKB1
BIRC5,RB1
BIRC5,RELA
BIRC5,SP1
BIRC5,SP3
BIRC5,SP4
BIRC5,STAT3
BIRC5,TCF4
BIRC5,TCF7L2
BIRC5,TP53
BIRC5,TP73
ESR1,PGR
FOS,PGR
HOXA5,PGR
JUN,PGR
KLF9,PGR
NFIL3,PGR
RELA,PGR
SP1,PGR
CTBP1,CLDN7
ELF3,CLDN7
HDAC1,CLDN7
RUNX3,CLDN7
AHR,FOS
ARNT,FOS
BRCA1,FOS
CREB1,FOS
CREM,FOS
ELK1,FOS
ELK4,FOS
ESR1,FOS
ESR2,FOS
FOS,FOS
GTF2I,FOS
HDAC1,FOS
HMGN1,FOS
HOPX,FOS
HSF2,FOS
JUN,FOS
MITF,FOS
NCOA6,FOS
NF1,FOS
NKX3-1,FOS
RB1,FOS
RBMX,FOS
SMARCA4,FOS
SP1,FOS
SRF,FOS
STAT3,FOS
STAT6,FOS
TBP,FOS
TWIST1,FOS
TWIST2,FOS
ZBTB7A,FOS
ATF5,EGR1
BRCA1,EGR1
ETS1,EGR1
ETS2,EGR1
FOXO1,EGR1
HDAC1,EGR1
KLF5,EGR1
MAML1,EGR1
NAB2,EGR1
NFKB1,EGR1
NKX2-3,EGR1
RBMX,EGR1
RELA,EGR1
SP1,EGR1
STAT1,EGR1
STAT6,EGR1
TP53,EGR1
ARNTL2,SERPINE1
E2F1,SERPINE1
EPAS1,SERPINE1
ESR1,SERPINE1
ESR2,SERPINE1
HIF1A,SERPINE1
HSF1,SERPINE1
KLF10,SERPINE1
KLF5,SERPINE1
NFKB1,SERPINE1
NFKB1,SERPINE1
NR0B2,SERPINE1
NR4A1,SERPINE1
PARP1,SERPINE1
PPARA,SERPINE1
PPARG,SERPINE1
RELA,SERPINE1
RELA,SERPINE1
SMAD3,SERPINE1
SMAD4,SERPINE1
SP1,SERPINE1
SRF,SERPINE1
TGIF1,SERPINE1
USF1,SERPINE1
YY1,SERPINE1
AR,MUC1
GATA3,MUC1
HIF1A,MUC1
PIAS1,MUC1
PIAS2,MUC1
PIAS3,MUC1
PIAS4,MUC1
STAT3,MUC1
ZEB1,MUC1
ESR1,KRT19
KLF4,KRT19
SP1,KRT19
AR,ERBB2
